source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
musicallettersf00unkngoog,1448286451685,"","",111065,112129,571646,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438447751146,"http://dbpedia.org/resource/Swansea","",369832,370682,578001,2,0,1,0,0,-1
thirtyyearsofmus00klei,1438262963296,"http://dbpedia.org/resource/Royal_Academy_of_Music","",210613,211821,578001,1,0,0,0,-129049,-1
thirtyyearsofmus00kleiuoft,1439302044229,"","",196839,197259,565930,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448325046337,"","",230539,231130,571646,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438589777282,"","",472854,474076,578001,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437558718321,"","",393945,394739,520572,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448277582432,"","",52552,54596,571646,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437329840329,"http://dbpedia.org/resource/Dublin","",329533,330556,520572,50,0,0,0,-554451,-1
memoriesofmusici00ganzuoft,1435916345649,"","",25766,26339,492418,0,0,0,0,-1,-1
recentmusicmusic00mosc,1431361104528,"http://dbpedia.org/resource/London","",639924,640275,968055,220,0,0,0,-1266983,-1
thirtyyearsofmus00klei,1438592530594,"","",484631,485560,578001,0,0,0,0,-1,-1
thirtyyearsofmus00kleiuoft,1439053076801,"http://dbpedia.org/resource/London","",104875,108119,565930,409,0,1,0,0,-1
memoriesofmusici00ganzuoft,1435930107895,"http://dbpedia.org/resource/Covent_Garden","",46555,46924,492418,17,0,0,0,-902362,-1
memoriesofmusici00ganzuoft,1436519953118,"","",452615,453358,492418,0,0,0,0,-1,-1
reminiscencesofm01kellrich,1435249587702,"http://dbpedia.org/resource/Covent_Garden","",477559,478655,501477,9,0,1,0,0,-1
lettersofcompose00norm,1424772128633,"http://dbpedia.org/resource/Medfield,_Massachusetts","",658414,659338,916583,1,0,0,0,-648874,-1
thirtyyearsofmus00kleiuoft,1438965418791,"http://dbpedia.org/resource/London","",49680,50957,565930,409,0,1,0,0,-1
autobiographyco03dela,1446668073268,"http://dbpedia.org/resource/Windsor,_Berkshire","http://dbpedia.org/resource/Mary_Delany",636449,637136,1162742,42,45,0,0,-997547,-1659786
thirtyyearsofmus00klei,1438445560630,"","",347729,347933,578001,0,0,0,0,-1,-1
